# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.08829896E+01  -1.10881441E+01  -2.05154432E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.17744257E-01   3.19011315E-01   1.26705830E-03
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.05346217E+01  -1.04487122E+01   8.59095324E-02
# Error est. for CH`(vbm) CH`(cbm) diff =   1.16340805E+00   9.98219427E-01  -1.65188624E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
     65  -1.05504856E+01  -1.10167120E+01  -4.66226423E-01  -9.07386752E+00  -9.42920358E+00  -3.55336066E-01
     66  -1.05581346E+01  -1.10226299E+01  -4.64495296E-01  -9.09573630E+00  -9.44566777E+00  -3.49931469E-01
     67  -1.05616706E+01  -1.10297136E+01  -4.68043021E-01  -9.10588850E+00  -9.46591864E+00  -3.60030137E-01
     68  -1.05656590E+01  -1.10361924E+01  -4.70533429E-01  -9.11756425E+00  -9.48326212E+00  -3.65697867E-01
     69  -1.05736408E+01  -1.10414102E+01  -4.67769399E-01  -9.14281820E+00  -9.49814327E+00  -3.55325073E-01
     70  -1.05844017E+01  -1.10471540E+01  -4.62752244E-01  -9.17435798E+00  -9.51441622E+00  -3.40058231E-01
     71  -1.05973107E+01  -1.10548033E+01  -4.57492567E-01  -9.21500870E+00  -9.53601701E+00  -3.21008315E-01
     72  -1.06115087E+01  -1.10592738E+01  -4.47765087E-01  -9.25895798E+00  -9.54848892E+00  -2.89530940E-01
     73  -1.06197502E+01  -1.10653716E+01  -4.45621399E-01  -9.28485420E+00  -9.56609513E+00  -2.81240927E-01
     74  -1.06314966E+01  -1.10722353E+01  -4.40738689E-01  -9.32155267E+00  -9.58641574E+00  -2.64863073E-01
     75  -1.06397907E+01  -1.10767919E+01  -4.37001143E-01  -9.34860734E+00  -9.60050689E+00  -2.51899553E-01
     76  -1.06632610E+01  -1.10844136E+01  -4.21152611E-01  -9.42723686E+00  -9.62234224E+00  -1.95105382E-01
     77  -1.06676564E+01  -1.10904333E+01  -4.22776894E-01  -9.44042734E+00  -9.64055073E+00  -2.00123383E-01
     78  -1.06738643E+01  -1.10969147E+01  -4.23050390E-01  -9.46106371E+00  -9.66065967E+00  -1.99595959E-01
     79  -1.06797311E+01  -1.11030211E+01  -4.23289942E-01  -9.48060318E+00  -9.67802761E+00  -1.97424427E-01
     80  -1.06824304E+01  -1.11073892E+01  -4.24958856E-01  -9.48955504E+00  -9.69218735E+00  -2.02632311E-01
     81  -1.06922976E+01  -1.11123759E+01  -4.20078396E-01  -9.52413336E+00  -9.70704708E+00  -1.82913724E-01
     82  -1.06975262E+01  -1.11213174E+01  -4.23791238E-01  -9.54150914E+00  -9.73406907E+00  -1.92559930E-01
